'*', 30, 1, 10, 0, 18, 18, 70, 0
'SPENVIS  - 24-Jun-2026 18:52:32'
'PRJ_DEF', -1,'PL2'
'PRJ_HDR', -1,'PL2 - radiation'
'MOD_ABB', -1,'MST'
'MIS_PLA', 1, 3,' '
'MIS_STA', 1, 25567.000000,'days since 1-01-1950'
'MIS_END', 1, 25932.000000,'days since 1-01-1950'
'MST_VER', 1, 2009,' '
'MST_MIN', 1, 0.001000,'m'
'MST_MAX', 1, 10.000000,'m'
'MST_SRC', 9, 1, 1, 1, 1, 1, 1, 1, 1, 1,' '
'INDEX','m', 1,'Diameter'
'ExplFragm_flux','1/m^2/yr', 1,'Explosion Fragments size cumulative flux'
'CollFragm_flux','1/m^2/yr', 1,'Collision Fragments size cumulative flux'
'LaunchMis_flux','1/m^2/yr', 1,'Launch/Mission related objects size cumulative flux'
'NaKDrop_flux','1/m^2/yr', 1,'NaK-droplets size cumulative flux'
'SRMSlag_flux','1/m^2/yr', 1,'SRM slag size cumulative flux'
'SRMDust_flux','1/m^2/yr', 1,'SRM Al2O3 dust size cumulative flux'
'PaintFlks_flux','1/m^2/yr', 1,'Paint flakes size cumulative flux'
'Ejecta_flux','1/m^2/yr', 1,'Ejecta size cumulative flux'
'MLI_flux','1/m^2/yr', 1,'Multi-Layer Insulation size cumulative flux'
'Meteoroid_flux','1/m^2/yr', 1,'Meteoroids size cumulative flux'
'Streams_flux','1/m^2/yr', 1,'Meteoroid Stream size cumulative flux'
'Cloud_1_flux','1/m^2/yr', 1,'Event cloud 1 size cumulative flux'
'Cloud_2_flux','1/m^2/yr', 1,'Event cloud 2 size cumulative flux'
'Cloud_3_flux','1/m^2/yr', 1,'Event cloud 3 size cumulative flux'
'Cloud_4_flux','1/m^2/yr', 1,'Event cloud 4 size cumulative flux'
'Cloud_5_flux','1/m^2/yr', 1,'Event cloud 5 size cumulative flux'
'Total_flux','1/m^2/yr', 1,'Total size cumulative flux'
 3.268030e-1, 3.166000e-7, 2.917000e-7, 8.091000e-7, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 1.417000e-6
 3.727590e-1, 1.554000e-7, 1.881000e-7, 8.078000e-7, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 1.151000e-6
 4.251790e-1, 1.153000e-7, 1.490000e-7, 7.980000e-7, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 1.062000e-6
 4.849690e-1, 1.009000e-7, 1.235000e-7, 7.671000e-7, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 9.915000e-7
 5.531680e-1, 6.966000e-8, 9.961000e-8, 7.302000e-7, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 8.995000e-7
 6.309570e-1, 5.474000e-8, 9.090000e-8, 7.178000e-7, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 8.634000e-7
 7.196860e-1, 4.891000e-8, 7.840000e-8, 7.177000e-7, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 8.450000e-7
 8.208910e-1, 4.591000e-8, 5.475000e-8, 7.172000e-7, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 8.179000e-7
 9.363290e-1, 4.244000e-8, 4.841000e-8, 7.113000e-7, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 8.022000e-7
 1.068000e+0, 3.870000e-8, 4.126000e-8, 6.162000e-7, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 6.962000e-7
